x,y,Class
continuous,continuous,discrete
,,class
0.110143706162,-0.00275918041574,class1
0.169095107605,0.751703511503,class3
0.174088145583,0.773265996219,class3
0.184805184858,0.832188170283,class3
0.184542460215,0.768057070813,class3
0.227930874967,0.728163741121,class3
0.155788056937,0.803664720834,class3
0.145364218434,0.772041900156,class3
0.219541539661,0.759334465034,class3
0.172912134477,0.727603573585,class3
0.260213677163,0.723650102091,class3
0.188328197943,0.823332628549,class3
0.242595533627,0.755802234929,class3
0.300874037097,0.799802177935,class3
0.271667153651,0.698993653387,class3
0.293426490099,0.711986602073,class3
0.294813212136,0.704053092162,class3
0.270101531145,0.69193384996,class3
0.241463854926,0.706712479444,class3
0.326190112425,0.729429184944,class3
0.303555137251,0.789791362739,class3
0.325599114522,0.687013734684,class3
0.376981001467,0.68435848879,class3
0.385915391665,0.652721435762,class3
0.324256791952,0.639437824321,class3
0.394404520484,0.65041457822,class3
0.424462751532,0.613244436139,class3
0.373188019684,0.591802389532,class3
0.46322124638,0.602793183176,class3
0.4575208883,0.582468375351,class3
0.470381057188,0.608764870339,class3
0.471985828159,0.594140520068,class3
0.510396391156,0.530177111782,class3
0.470858581532,0.56639269325,class3
0.497506200523,0.525404227734,class3
0.43698256656,0.580940287946,class3
0.418725760811,0.483296309323,class3
0.50816794232,0.493865213648,class3
0.487354288605,0.512575888386,class3
0.480104606126,0.502476526699,class3
0.538059885643,0.524590132837,class3
0.517515998884,0.460560085657,class3
0.556696172802,0.488795366252,class3
0.53696701147,0.416075165718,class3
0.504415985937,0.382916201882,class3
0.587209983423,0.410658731898,class3
0.585481293982,0.380313176752,class3
0.540836486488,0.454887497015,class3
0.61774326398,0.426901330911,class3
0.57974068286,0.4213055354,class3
0.566824755371,0.38955161913,class3
0.619144144819,0.388875288996,class3
0.604705245742,0.398532951628,class3
0.620996566155,0.395543205539,class3
0.626288752808,0.42849972799,class3
0.668281128613,0.279094386021,class3
0.652610587687,0.352876278708,class3
0.650448741323,0.326032242793,class3
0.712996280636,0.323552481525,class3
0.693211846692,0.339831073964,class3
0.724049451469,0.288139800901,class3
0.629694083573,0.345120035588,class3
0.692800248659,0.297936775411,class3
0.72184383146,0.2966969985,class3
0.726450795113,0.242760306007,class3
0.69311366943,0.235184330603,class3
0.757946262169,0.259998923418,class3
0.738286808452,0.266998587431,class3
0.770901913752,0.216453017702,class3
0.768203537537,0.321644047516,class3
0.785348501551,0.25301291978,class3
0.836323844523,0.333993161085,class3
0.774333964418,0.206194110078,class3
0.807104022443,0.171733149056,class3
0.819900102455,0.272526508112,class3
0.806277191677,0.24860772629,class3
0.870160038327,0.225973029337,class3
0.82305839877,0.217798069637,class3
0.753155961126,0.187653552685,class3
0.779871571654,0.225278175979,class3
0.818581591963,0.132641669508,class3
0.804779806499,0.179486743279,class3
0.875755334554,0.260076964669,class3
0.866638559283,0.235096112719,class3
0.796988937518,0.1328718389,class3
0.731251286264,0.158556788618,class3
0.818671003776,0.215512813054,class3
0.806401660585,0.165470628296,class3
0.749351238963,0.195865630104,class3
0.771763070923,0.263281162981,class3
0.830478199649,0.21528974972,class3
0.750088227726,0.239906765297,class3
0.763884601111,0.18449901897,class3
0.768228873319,0.159640313897,class3
0.846876362164,0.152221359719,class3
0.830394777237,0.242917394111,class3
0.80194903835,0.226735535956,class3
0.81008613019,0.204648490963,class3
0.774986410933,0.198751542198,class3
0.764145850324,0.143184644232,class3
0.824270826637,0.221317859884,class3
0.742303418207,0.244847360381,class3
0.803967375437,0.213524938613,class3
0.818858795192,0.198117767653,class3
0.796952753349,0.30366270795,class3
0.777716829656,0.225102460725,class3
0.729139528593,0.261892325227,class3
0.707948804295,0.203992211599,class3
0.730183582464,0.324447574502,class3
0.725244688035,0.398871062212,class3
0.68119954166,0.287175966657,class3
0.694572729355,0.241009353144,class3
0.707990716008,0.304752754941,class3
0.652262970706,0.278328372972,class3
0.723248255828,0.317945150595,class3
0.705844090238,0.225820392209,class3
0.71760093333,0.25174286656,class3
0.646424713676,0.319930861824,class3
0.709463366821,0.428497452052,class3
0.669149382651,0.352278321092,class3
0.69523274875,0.274281231617,class3
0.646821387555,0.35732701393,class3
0.65705817819,0.397288838516,class3
0.660046205436,0.343698796433,class3
0.668347908861,0.387346901406,class3
0.622135355631,0.360079619562,class3
0.557936943272,0.394823424248,class3
0.631234631662,0.394546213889,class3
0.606976251643,0.405853503249,class3
0.54709505285,0.389909766458,class3
0.651834048104,0.466827545455,class3
0.620756171506,0.442126712032,class3
0.599927595873,0.441125260698,class3
0.531777007999,0.430162977671,class3
0.532897271233,0.418176055526,class3
0.528900548715,0.419996540965,class3
0.564796072943,0.429317763281,class3
0.538244524679,0.481748040353,class3
0.541235644345,0.418055506589,class3
0.437370340879,0.522171873328,class3
0.580175497105,0.519906301021,class3
0.519205707895,0.477470276689,class3
0.456075998117,0.536922953908,class3
0.514077191861,0.525894723568,class3
0.501075225826,0.52673488354,class3
0.450935004989,0.491473977193,class3
0.514568034116,0.558174150837,class3
0.423914956327,0.555798010474,class3
0.455559653544,0.542875460855,class3
0.528611933253,0.543400294459,class3
0.530307543692,0.56488165998,class3
0.494390196765,0.57357531008,class3
0.42736949453,0.568692053888,class3
0.480428832208,0.552984783627,class3
0.415049514552,0.644562879042,class3
0.421629615616,0.553041938515,class3
0.436743600053,0.621214093606,class3
0.360708120656,0.577745890146,class3
0.359291301052,0.619526209174,class3
0.41389410799,0.606586653137,class3
0.449287774792,0.616640479254,class3
0.397015923467,0.606970711887,class3
0.337883707088,0.64037177872,class3
0.334218295814,0.695612292477,class3
0.465673520086,0.630442806374,class3
0.352231919637,0.633906914714,class3
0.397043409895,0.642256780955,class3
0.369931127274,0.657759857952,class3
0.420593463121,0.620803044788,class3
0.272007256898,0.697942915358,class3
0.323403938036,0.61760313922,class3
0.371888018895,0.730125948343,class3
0.289652315682,0.657198429403,class3
0.326998960248,0.662909532598,class3
0.316303038268,0.674907317496,class3
0.282438490912,0.703724919604,class3
0.290107636668,0.736882578289,class3
0.324319624092,0.706573758225,class3
